field,presence_rate,accuracy_rate,close_match_rate,is_critical,total_count
receiver_section[0].receiver_appointment_start_time,0.0,0.0,0.0,True,3
receiver_section[1].receiver_instructions,0.0,0.0,0.0,True,2
shipper_section[1].pickup_instructions,0.0,0.0,0.0,True,5
receiver_section[2].receiver_instructions,0.0,0.0,0.0,True,1
receiver_section[1].receiver_address,0.5,0.0,0.0,True,2
shipper_section[0].pickup_appointment_start_time,0.0,0.0,0.0,True,3
receiver_section[0].receiver_appointment_date,0.0,0.0,0.0,True,3
shipper_section[0].pickup_appointment_date,0.0,0.0,0.0,True,3
shipper_section[2].pickup_instructions,0.0,0.0,0.0,True,1
receiver_section[2].receiver_address,1.0,0.0,1.0,True,1
receiver_section[0].receiver_appointment_end_time,0.0,0.0,0.0,True,3
shipper_section[0].pickup_appointment_end_time,0.0,0.0,0.0,True,3
additional_rate,0.7536231884057971,0.18840579710144928,0.18840579710144928,False,69
receiver_section[0].receiver_instructions,0.47560975609756095,0.2073170731707317,0.25609756097560976,True,82
customer_address,0.6216216216216216,0.22972972972972974,0.44594594594594594,False,74
temperature_high,0.25,0.25,0.25,False,32
shipper_section[0].pickup_instructions,0.7108433734939759,0.3132530120481928,0.5180722891566265,True,83
receiver_section[0].receiver_delivery_number,0.7682926829268293,0.3170731707317073,0.4634146341463415,True,82
customer_name,0.8,0.35294117647058826,0.4588235294117647,True,85
shipper_section[0].pickup_number,0.6626506024096386,0.37349397590361444,0.40963855421686746,True,83
shipper_section[1].pickup_number,0.4,0.4,0.4,True,5
shipper_section[1].ship_from_company,0.4,0.4,0.4,True,5
shipper_section[1].ship_from_address,0.4,0.4,0.4,True,5
shipper_section[1].pickup_appointment_start_datetime,0.4,0.4,0.4,True,5
shipper_section[1].pickup_appointment_end_datetime,0.4,0.4,0.4,True,5
temperature_low,0.40625,0.40625,0.40625,False,32
receiver_section[1].receiver_appointment_start_datetime,0.5,0.5,0.5,True,2
receiver_section[1].receiver_delivery_number,0.5,0.5,0.5,True,2
receiver_section[1].receiver_company,0.5,0.5,0.5,True,2
receiver_section[1].receiver_appointment_end_datetime,0.5,0.5,0.5,True,2
shipper_section[0].ship_from_address,0.9397590361445783,0.5060240963855421,0.927710843373494,True,83
receiver_section[0].receiver_address,0.9634146341463414,0.5121951219512195,0.9390243902439024,True,82
equipment_type,0.9176470588235294,0.5529411764705883,0.5764705882352941,True,85
temperature_present,0.96875,0.625,0.625,False,32
receiver_section[0].receiver_appointment_end_datetime,0.7195121951219512,0.6829268292682927,0.6951219512195121,True,82
shipper_section[0].pickup_appointment_end_datetime,0.7710843373493976,0.7349397590361446,0.7469879518072289,True,83
freight_rate,0.9058823529411765,0.8117647058823529,0.8117647058823529,True,85
email_domain,0.9647058823529412,0.8235294117647058,0.8470588235294118,False,85
shipper_section[0].ship_from_company,0.9156626506024096,0.8433734939759037,0.8795180722891566,True,83
booking_confirmation_number,0.9879518072289156,0.8674698795180723,0.8795180722891566,True,83
is_flat_rate,0.875,0.875,0.875,False,16
shipper_section[0].pickup_appointment_start_datetime,0.9156626506024096,0.8795180722891566,0.9036144578313253,True,83
receiver_section[0].receiver_company,0.9634146341463414,0.8902439024390244,0.926829268292683,True,82
receiver_section[0].receiver_appointment_start_datetime,0.9390243902439024,0.9024390243902439,0.9146341463414634,True,82
shipper_section,1.0,0.9285714285714286,0.9404761904761905,True,84
total_rate,0.9529411764705882,0.9294117647058824,0.9294117647058824,True,85
additional_rates,1.0,0.9375,0.9375,False,16
receiver_section,1.0,0.9404761904761905,0.9404761904761905,True,84
reference_number,0.9811320754716981,0.9433962264150944,0.9622641509433962,True,53
additional_rates[0].is_fuel_surcharge,1.0,1.0,1.0,False,9
receiver_section[2].receiver_appointment_end_datetime,1.0,1.0,1.0,True,1
additional_rates[0].amount,1.0,1.0,1.0,False,9
receiver_section[2].receiver_delivery_number,1.0,1.0,1.0,True,1
receiver_section[2].receiver_appointment_start_datetime,1.0,1.0,1.0,True,1
receiver_section[2].receiver_company,1.0,1.0,1.0,True,1
shipper_section[2].ship_from_company,1.0,1.0,1.0,True,1
shipper_section[2].pickup_appointment_start_datetime,1.0,1.0,1.0,True,1
shipper_section[2].ship_from_address,1.0,1.0,1.0,True,1
shipper_section[2].pickup_appointment_end_datetime,1.0,1.0,1.0,True,1
shipper_section[2].pickup_number,1.0,1.0,1.0,True,1
